server name,date, body bytes sent , status , upstream response length , tcpinfo rtt , tcpinfo rttvar , tcpinfo snd cwnd ,sent http content type,http user agent
static.tvc.ru,19.12.2023, 6 465   , 200   , 6 465   , 2 418   , 4 176   , 18   ,image/png,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 3 869   , 200   , 3 869   , 3 017   , 5 294   , 10   ,image/png,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 3 829   , 200   , 3 829   , 6 895   , 12 203   , 10   ,image/png,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 11 917   , 200   , 57 282   , 392   , 49   , 10   ,application/x-javascript,Mozilla/5.0 Linux. arm.
static.tvc.ru,19.12.2023, 9 529   , 200   , 9 529   , 522   , 334   , 10   ,image/png,Mozilla/5.0 Linux. arm.
static.tvc.ru,19.12.2023, 1 188   , 200   , 3 692   , 241   , 71   , 10   ,text/css,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 7 809   , 200   , 7 809   , 1 995   , 3 459   , 10   ,image/png,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 511   , 456   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 613   , 486   , 10   ,application/json,Mozilla/5.0 Linux. Andr
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 474   , 183   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 352   , 142   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 361   , 86   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 321   , 28   , 10   ,application/json,Mozilla/5.0 Linux. Andr
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 309   , 149   , 10   ,application/json,Mozilla/5.0 Linux. Andr
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 311   , 19   , 10   ,application/json,Mozilla/5.0 Macintosh. 
www.tvc.ru,19.12.2023, 2 306   , 200   , 6 543   , 1 488   , 2 359   , 10   ,text/html. charset=utf-8,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 895   , 200   , 2 195   , 1 059   , 1 194   , 10   ,text/css,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 43 133   , 200   , 156 087   , 286   , 39   , 20   ,text/css,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 1 828   , 200   , 6 951   , 3 042   , 4 862   , 10   ,text/css,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 7 196   , 200   , 23 547   , 2 700   , 4 331   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 10 939   , 200   , 42 766   , 300   , 23   , 33   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 9 658   , 200   , 35 542   , 1 918   , 3 001   , 12   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 1 822   , 200   , 5 594   , 329   , 48   , 33   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 1 207   , 200   , 5 110   , 5 023   , 8 681   , 14   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 10 250   , 200   , 10 250   , 328   , 37   , 33   ,image/png,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 18 449   , 200   , 18 449   , 4 436   , 7 684   , 14   ,image/png,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 16 711   , 200   , 16 711   , 1 958   , 3 153   , 28   ,image/png,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 37 027   , 200   , 37 027   , 442   , 169   , 33   ,image/png,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 977   , 200   , 2 210   , 6 176   , 11 334   , 12   ,application/x-javascript,Mozilla/5.0 Linux. arm.
static.tvc.ru,19.12.2023, 1 207   , 200   , 5 110   , 391   , 89   , 10   ,application/x-javascript,Mozilla/5.0 Linux. arm.
static.tvc.ru,19.12.2023, 5 273   , 200   , 5 273   , 5 467   , 10 126   , 33   ,image/png,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 3 869   , 200   , 3 869   , 362   , 91   , 10   ,image/png,Mozilla/5.0 Linux. arm.
static.tvc.ru,19.12.2023, 581   , 200   , 1 776   , 5 432   , 10 084   , 10   ,text/css,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 887   , 200   , 3 191   , 2 398   , 4 033   , 10   ,text/css,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 6 260   , 200   , 27 988   , 286   , 129   , 10   ,text/css,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 1 828   , 200   , 6 951   , 2 551   , 4 624   , 10   ,text/css,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 43 133   , 200   , 156 087   , 455   , 258   , 13   ,text/css,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 2 344   , 200   , 12 257   , 472   , 134   , 10   ,text/css,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 1 188   , 200   , 3 692   , 4 802   , 8 822   , 10   ,text/css,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 5 273   , 200   , 5 273   , 396   , 99   , 10   ,image/png,Mozilla/5.0 Linux. arm.
static.tvc.ru,19.12.2023, 895   , 200   , 2 195   , 2 052   , 3 463   , 10   ,text/css,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 1 141   , 200   , 4 028   , 2 142   , 3 536   , 10   ,text/css,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 33 899   , 200   , 97 362   , 2 263   , 3 923   , 13   ,application/x-javascript,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 841   , 200   , 3 243   , 452   , 135   , 10   ,application/x-javascript,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 752   , 200   , 2 341   , 4 265   , 7 691   , 10   ,application/x-javascript,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 10 782   , 200   , 10 782   , 1 909   , 3 119   , 10   ,image/svg+xml,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 10 250   , 200   , 10 250   , 4 797   , 8 089   , 10   ,image/png,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 18 449   , 200   , 18 449   , 2 672   , 4 337   , 13   ,image/png,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 10 447   , 200   , 42 863   , 5 451   , 10 098   , 10   ,application/x-javascript,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 10 939   , 200   , 42 766   , 8 906   , 15 052   , 10   ,application/x-javascript,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 37 027   , 200   , 37 027   , 393   , 77   , 10   ,image/png,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 9 861   , 200   , 9 861   , 1 349   , 1 711   , 10   ,image/jpeg,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 3 829   , 200   , 3 829   , 3 248   , 5 718   , 13   ,image/png,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 11 917   , 200   , 57 282   , 1 199   , 1 775   , 13   ,application/x-javascript,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 977   , 200   , 2 210   , 381   , 78   , 15   ,application/x-javascript,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 1 207   , 200   , 5 110   , 2 890   , 5 071   , 13   ,application/x-javascript,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 9 529   , 200   , 9 529   , 2 316   , 3 812   , 13   ,image/png,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 5 273   , 200   , 5 273   , 4 607   , 8 510   , 15   ,image/png,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 3 869   , 200   , 3 869   , 2 563   , 4 457   , 13   ,image/png,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 49 504   , 200   , 187 111   , 829   , 959   , 16   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 33 915   , 200   , 97 403   , 459   , 90   , 17   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 1 233   , 200   , 4 220   , 345   , 151   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 744   , 200   , 1 790   , 873   , 724   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 1 243   , 1 818   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 266   , 44   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 908   , 1 379   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 382   , 182   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 250   , 33   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 344   , 43   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 2 552   , 4 021   , 10   ,application/json,Mozilla/5.0 iPhone. CPU
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 378   , 65   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 646   , 521   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 11 468   , 200   , .J   f48780 , 408   , 109   , 10   ,text/html. charset=utf-8,Mozilla/5.0 Linux. arm_
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 240   , 79   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 11 381   , 200   , 48 780   , 244   , 79   , 10   ,text/html. charset=utf-8,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 372   , 160   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 498   , 415   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 381   , 177   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 484   , 139   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 1 737   , 2 765   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 1 169   , 200   , 0.815972222222222 , 377   , 147   , 10   ,text/xml. charset=utf-8,"""}D '?"
static.tvc.ru,19.12.2023, 887   , 200   , 3 191   , 348   , 225   , 10   ,text/css,Mozilla/5.0 Windows NT 
